Player Name,Position,Pos. Type,Avg. Assists,Avg. Points,Avg. Field Goals Attempted,Avg. Field Goals Made,Avg. Oe,Avg. Rebounds Offensive,Avg. Rebounds Total,Avg. Turnovers,Count of Number of Records
Eric Gordon,SG,guard,2.71,16.23,12.58,5.16,0.46,0.29,2.16,1.65,31.00
Eric Moreland,PF,big,0.00,2.00,0.60,0.40,0.50,0.20,1.20,0.00,5.00
Erick Green,PG,guard,0.33,0.00,0.33,0.00,0.50,0.00,0.33,0.00,3.00
Ersan Ilyasova,PF,big,1.19,11.00,8.97,3.77,0.51,1.68,4.84,1.16,31.00
Evan Fournier,SG,guard,2.55,14.48,11.61,5.13,0.49,0.39,3.23,1.42,31.00
Evan Turner,SG,guard,3.94,9.57,8.90,3.77,0.54,0.61,4.48,2.10,31.00
Festus Ezeli,C,big,0.90,8.55,6.00,3.28,0.83,2.31,6.31,1.03,29.00
Frank Kaminsky,C,big,1.17,7.27,5.41,2.28,0.52,0.55,3.34,0.55,29.00
Garrett Temple,SG,guard,1.41,8.13,5.96,2.33,0.49,0.41,2.41,0.70,27.00
Gary Harris,SG,guard,1.92,10.36,9.00,4.12,0.50,0.60,2.40,1.48,25.00
Gary Neal,PG,guard,1.25,10.50,8.54,3.96,0.49,0.33,2.04,0.88,24.00
George Hill,PG,guard,3.26,11.85,10.22,4.30,0.53,0.56,3.78,1.52,27.00
Gerald Green,SG,guard,0.75,11.46,10.00,4.13,0.42,0.38,2.46,0.92,24.00
Gerald Henderson,SG,guard,0.83,7.50,6.21,2.42,0.41,0.25,2.38,1.00,24.00
Giannis Antetokounmpo,SF,big,2.87,15.27,11.57,5.87,0.56,1.23,6.60,2.37,30.00
Glenn Robinson III,SG,guard,0.28,6.64,2.89,1.50,0.61,0.22,1.39,0.28,18.00
Goran Dragic,SG,guard,5.24,11.41,10.41,4.59,0.56,0.76,3.41,2.38,29.00
Gordon Hayward,SG,guard,3.17,19.03,14.24,6.03,0.48,0.79,5.00,2.41,29.00
Gorgui Dieng,F,big,1.29,8.74,6.42,3.35,0.58,1.55,6.35,1.97,31.00
Greg Monroe,C,big,2.57,15.50,12.60,6.53,0.64,2.63,9.63,1.63,30.00
Greivis Vasquez,PG,guard,4.44,8.77,7.00,2.44,0.51,0.25,2.31,1.88,16.00
Harrison Barnes,SF,big,1.94,13.41,9.88,4.94,0.61,1.24,5.00,1.06,17.00
Hassan Whiteside,C,big,0.20,12.60,8.53,5.27,0.83,3.07,10.97,1.90,30.00
Hollis Thompson,SG,guard,1.36,8.72,7.64,2.94,0.43,0.70,3.64,1.33,33.00
Ian Clark,SG,guard,0.76,5.81,3.08,1.40,0.54,0.20,1.00,0.60,25.00
Ian Mahinmi,C,big,1.41,8.61,5.76,3.41,0.80,2.10,7.14,1.14,29.00
Iman Shumpert,SG,guard,1.43,6.83,5.71,2.00,0.45,0.43,3.00,1.00,7.00
Isaiah Canaan,PG,guard,2.06,11.41,9.39,3.33,0.41,0.21,2.21,1.48,33.00
Isaiah Thomas,PG,guard,6.84,20.74,16.16,6.71,0.54,0.52,2.90,2.71,31.00
Ish Smith,PG,guard,5.86,11.00,9.10,3.86,0.60,0.52,3.34,1.86,29.00
J.J. Hickson,PF,big,0.94,8.38,6.12,3.18,0.61,1.18,4.82,0.88,17.00
J.J. Redick,SG,guard,1.68,15.18,10.86,5.14,0.50,0.11,1.57,1.21,28.00
J.R. Smith,SG,guard,1.80,11.13,10.40,3.96,0.45,0.76,2.84,1.04,25.00
Jabari Parker,SF,big,1.23,10.73,9.35,4.38,0.56,1.23,4.12,0.88,26.00
Jae Crowder,SF,big,1.77,13.32,10.19,4.58,0.51,1.03,5.26,1.55,31.00
Jahlil Okafor,C,big,1.24,17.55,15.83,7.24,0.50,2.45,7.86,2.48,29.00
Jakarr Sampson,SG,guard,0.63,6.29,4.38,2.19,0.48,0.53,2.97,1.19,32.00
Jamal Crawford,SG,guard,2.19,12.37,10.19,3.78,0.42,0.22,1.72,1.41,32.00
Jameer Nelson,PG,guard,4.61,8.37,8.14,3.11,0.54,0.39,2.96,1.82,28.00
James Anderson,SG,guard,0.36,4.71,2.50,0.64,0.17,0.14,0.79,0.71,14.00
James Ennis,SF,big,0.38,3.67,0.75,0.25,0.63,0.25,0.63,0.25,8.00
James Harden,SG,guard,6.84,28.44,19.94,8.31,0.50,0.88,5.97,4.44,32.00
James Johnson,PF,big,1.08,5.95,3.58,2.00,0.63,0.54,2.12,0.88,26.00
James Jones,SG,guard,0.38,5.88,3.27,1.15,0.38,0.19,1.31,0.31,26.00
James Michael McAdoo,SF,big,0.26,4.45,1.61,0.87,0.76,0.48,1.26,0.35,23.00
James Young,SG,guard,0.64,3.20,1.55,0.55,0.44,0.18,1.45,0.18,11.00
JaMychal Green,PF,big,0.47,6.71,5.03,2.44,0.66,1.41,4.59,1.16,32.00
Jared Cunningham,SG,guard,0.78,5.93,3.35,1.17,0.40,0.09,1.00,0.65,23.00
Jared Dudley,SG,guard,1.54,8.62,5.82,2.82,0.56,0.61,3.71,0.96,28.00
Jared Sullinger,PF,big,2.40,9.70,9.63,4.03,0.62,2.80,9.37,1.37,30.00
Jarell Eddie,SG,guard,1.00,10.00,7.00,3.00,0.54,0.50,3.00,0.00,2.00
Jarell Martin,PF,big,0.00,2.00,2.50,0.50,0.17,0.00,0.00,0.00,2.00
Jarnell Stokes,PF,big,0.00,0.00,0.00,0.00,0.00,0.50,1.00,0.00,2.00
Jarrett Jack,PG,guard,7.23,13.47,11.40,4.60,0.54,0.30,4.33,3.00,30.00
Jason Smith,PF,big,0.48,6.09,4.88,2.52,0.56,0.60,2.56,0.80,25.00
Jason Terry,SG,guard,1.15,6.64,4.46,1.96,0.47,0.12,1.00,0.77,26.00
Jason Thompson,PF,big,0.67,2.44,1.47,0.67,0.69,0.47,1.87,0.33,15.00
JaVale McGee,U,big,0.09,6.13,3.73,2.00,0.51,1.00,3.55,1.00,11.00
Jeff Green,SF,big,1.82,11.13,9.30,3.97,0.56,0.94,4.24,1.27,33.00
Jeff Teague,PG,guard,5.80,15.53,12.30,5.17,0.54,0.60,2.77,2.70,30.00
Jeff Withey,C,big,0.30,6.08,2.65,1.45,0.63,1.10,3.60,0.80,20.00
Jerami Grant,SF,big,1.15,9.09,7.64,3.21,0.56,1.33,4.45,1.09,33.00
Jeremy Evans,SF,big,0.05,4.38,1.00,0.65,0.42,0.20,1.30,0.25,20.00
Jeremy Lamb,SG,guard,1.34,11.39,9.21,4.34,0.51,0.76,4.41,0.90,29.00
Jeremy Lin,PG,guard,3.17,11.80,9.03,3.87,0.52,0.67,3.23,1.83,30.00
Jerian Grant,PG,guard,2.28,5.85,5.07,1.83,0.42,0.24,1.79,1.34,29.00
Jerryd Bayless,PG,guard,3.90,12.05,9.65,4.25,0.52,0.30,2.90,2.00,20.00
Jimmer Fredette,PG,guard,0.25,2.00,1.00,0.25,0.17,0.00,0.00,0.25,4.00
Jimmy Butler,SG,guard,3.55,20.79,15.48,6.90,0.52,0.93,4.93,1.90,29.00
Joakim Noah,C,big,3.84,5.95,4.52,1.84,0.81,2.92,8.84,1.72,25.00
Jodie Meeks,SG,guard,0.00,2.00,2.50,0.50,0.13,0.50,1.00,0.50,2.00
Joe Harris,SG,guard,0.40,3.00,0.80,0.20,0.50,0.00,0.60,0.20,5.00
Joe Ingles,SF,big,0.96,5.79,3.21,1.46,0.48,0.04,1.43,0.68,28.00
Joe Johnson,SF,big,3.97,10.61,11.16,3.90,0.47,0.77,4.13,1.94,31.00
Joel Anthony,U,big,0.00,1.67,0.33,0.17,1.00,0.17,1.00,0.00,6.00
Joffrey Lauvergne,C,big,1.19,10.21,7.50,3.69,0.63,1.69,6.00,0.56,16.00
